type,image,truth,pred,recomputed_pred,correct,crop_path,column,chosen_digit,filled_digits,argmax_digit,min_count,threshold,count_0,count_1,count_2,count_3,count_4,count_5,count_6,count_7,count_8,count_9
mssv,b9ddbcd990fe11a048ef.jpg,50712964,50?12964,50?12964,False,data\eval_artifacts\b9ddbcd990fe11a048ef\crops\mssv.png,1,5,5,5,332,452,356,332,347,356,349,546,372,344,384,367
mssv,b9ddbcd990fe11a048ef.jpg,50712964,50?12964,50?12964,False,data\eval_artifacts\b9ddbcd990fe11a048ef\crops\mssv.png,2,0,0,0,336,456,516,340,349,354,347,368,371,336,364,367
mssv,b9ddbcd990fe11a048ef.jpg,50712964,50?12964,50?12964,False,data\eval_artifacts\b9ddbcd990fe11a048ef\crops\mssv.png,3,?,,7,346,466,380,346,364,360,362,372,377,448,375,364
mssv,b9ddbcd990fe11a048ef.jpg,50712964,50?12964,50?12964,False,data\eval_artifacts\b9ddbcd990fe11a048ef\crops\mssv.png,4,1,1,1,330,450,377,516,366,371,360,363,383,330,379,374
mssv,b9ddbcd990fe11a048ef.jpg,50712964,50?12964,50?12964,False,data\eval_artifacts\b9ddbcd990fe11a048ef\crops\mssv.png,5,2,2,2,334,454,375,348,507,371,364,370,370,334,373,372
mssv,b9ddbcd990fe11a048ef.jpg,50712964,50?12964,50?12964,False,data\eval_artifacts\b9ddbcd990fe11a048ef\crops\mssv.png,6,9,9,9,329,449,375,348,358,364,353,366,372,329,370,461
mssv,b9ddbcd990fe11a048ef.jpg,50712964,50?12964,50?12964,False,data\eval_artifacts\b9ddbcd990fe11a048ef\crops\mssv.png,7,6,6,6,331,451,375,335,354,360,359,361,492,331,365,352
mssv,b9ddbcd990fe11a048ef.jpg,50712964,50?12964,50?12964,False,data\eval_artifacts\b9ddbcd990fe11a048ef\crops\mssv.png,8,4,4,4,329,449,355,337,363,357,508,366,371,329,364,350
mssv,41ed75cd59ead8b481fb.jpg,36128594,36128???,36128???,False,data\eval_artifacts\41ed75cd59ead8b481fb\crops\mssv.png,1,3,3,3,373,493,373,375,395,580,390,399,413,382,403,415
mssv,41ed75cd59ead8b481fb.jpg,36128594,36128???,36128???,False,data\eval_artifacts\41ed75cd59ead8b481fb\crops\mssv.png,2,6,6,6,366,486,396,366,387,400,392,406,575,377,417,414
mssv,41ed75cd59ead8b481fb.jpg,36128594,36128???,36128???,False,data\eval_artifacts\41ed75cd59ead8b481fb\crops\mssv.png,3,1,1,1,385,505,421,581,388,412,408,422,430,385,423,417
mssv,41ed75cd59ead8b481fb.jpg,36128594,36128???,36128???,False,data\eval_artifacts\41ed75cd59ead8b481fb\crops\mssv.png,4,2,2,2,372,492,424,377,561,372,407,424,422,375,422,415
mssv,41ed75cd59ead8b481fb.jpg,36128594,36128???,36128???,False,data\eval_artifacts\41ed75cd59ead8b481fb\crops\mssv.png,5,8,8,8,352,472,414,380,414,408,398,412,405,352,479,416
mssv,41ed75cd59ead8b481fb.jpg,36128594,36128???,36128???,False,data\eval_artifacts\41ed75cd59ead8b481fb\crops\mssv.png,6,?,,5,367,487,415,385,408,399,399,478,413,367,402,401
mssv,41ed75cd59ead8b481fb.jpg,36128594,36128???,36128???,False,data\eval_artifacts\41ed75cd59ead8b481fb\crops\mssv.png,7,?,,9,359,479,420,378,405,407,395,402,401,359,401,450
mssv,41ed75cd59ead8b481fb.jpg,36128594,36128???,36128???,False,data\eval_artifacts\41ed75cd59ead8b481fb\crops\mssv.png,8,?,,4,357,477,402,377,414,415,463,407,407,357,401,411
mssv,48fa0df221d5a08bf9c4.jpg,36128594,361?????,361?????,False,data\eval_artifacts\48fa0df221d5a08bf9c4\crops\mssv.png,1,3,3,3,283,403,327,322,339,462,287,283,295,302,340,336
mssv,48fa0df221d5a08bf9c4.jpg,36128594,361?????,361?????,False,data\eval_artifacts\48fa0df221d5a08bf9c4\crops\mssv.png,2,6,6,6,320,440,339,328,358,352,323,332,482,320,365,372
mssv,48fa0df221d5a08bf9c4.jpg,36128594,361?????,361?????,False,data\eval_artifacts\48fa0df221d5a08bf9c4\crops\mssv.png,3,1,1,1,336,456,379,497,369,355,357,363,378,336,363,375
mssv,48fa0df221d5a08bf9c4.jpg,36128594,361?????,361?????,False,data\eval_artifacts\48fa0df221d5a08bf9c4\crops\mssv.png,4,?,,2,316,436,376,316,436,369,356,373,377,339,374,363
mssv,48fa0df221d5a08bf9c4.jpg,36128594,361?????,361?????,False,data\eval_artifacts\48fa0df221d5a08bf9c4\crops\mssv.png,5,?,,8,333,453,369,344,333,364,350,353,368,333,396,356
mssv,48fa0df221d5a08bf9c4.jpg,36128594,361?????,361?????,False,data\eval_artifacts\48fa0df221d5a08bf9c4\crops\mssv.png,6,?,,5,329,449,362,354,349,368,356,389,357,329,353,359
